Name Asher
Primary_Ability_Mod 4
Save_DC_Ability_Mod 3
Save_Prof_1 dex
Save_Prof_2 int
STR_Mod 4
DEX_Mod 0
CON_Mod 3
INT_Mod 3
WIS_Mod -1
CHA_Mod 2
Max_HP 72
AC 18
Prof_Bonus 3
Weapon_Attack_Bonus 1
Weapon_Damage_Bonus 1
Num_Attacks 2
Avg_R1_Attack_DMG_vs_Minor_Enemies 15.5
Avg_R2_Attack_DMG_vs_Minor_Enemies 19
Avg_R3_Attack_DMG_vs_Minor_Enemies 22.5
Avg_R1_Attack_DMG_vs_Major_Enemies 15.5
Avg_R2_Attack_DMG_vs_Major_Enemies 19
Avg_R3_Attack_DMG_vs_Major_Enemies 22.5
Avg_R1_Attack_DMG_vs_Bosses 20
Avg_R2_Attack_DMG_vs_Bosses 23.5
Avg_R3_Attack_DMG_vs_Bosses 23.5
Avg_Extra_DMG_per_Round 0
