Name Azrael
Primary_Ability_Mod 4
Save_DC_Ability_Mod 3
Save_Prof_1 wis
Save_Prof_2 cha
STR_Mod 4
DEX_Mod 1
CON_Mod 1
INT_Mod -1
WIS_Mod 0
CHA_Mod 3
Max_HP 61
AC 20
Prof_Bonus 3
Weapon_Attack_Bonus 1
Weapon_Damage_Bonus 1
Num_Attacks 2
Avg_R1_Attack_DMG_vs_Minor_Enemies 15.5
Avg_R2_Attack_DMG_vs_Minor_Enemies 15.5
Avg_R3_Attack_DMG_vs_Minor_Enemies 15.5
Avg_R1_Attack_DMG_vs_Major_Enemies 18
Avg_R2_Attack_DMG_vs_Major_Enemies 18
Avg_R3_Attack_DMG_vs_Major_Enemies 18
Avg_R1_Attack_DMG_vs_Bosses 20.5
Avg_R2_Attack_DMG_vs_Bosses 23
Avg_R3_Attack_DMG_vs_Bosses 25
Avg_Extra_DMG_per_Round 0
