Name Tor
Primary_Ability_Mod 3
Save_DC_Ability_Mod 3
Save_Prof_1 wis
Save_Prof_2 cha
STR_Mod 2
DEX_Mod 3
CON_Mod 1
INT_Mod 0
WIS_Mod -1
CHA_Mod 3
Max_HP 45
AC 16
Prof_Bonus 3
Weapon_Attack_Bonus 1
Weapon_Damage_Bonus 1
Num_Attacks 3
Avg_R1_Attack_DMG_vs_Minor_Enemies 7.5
Avg_R2_Attack_DMG_vs_Minor_Enemies 7.5
Avg_R3_Attack_DMG_vs_Minor_Enemies 7.5
Avg_R1_Attack_DMG_vs_Major_Enemies 7.5
Avg_R2_Attack_DMG_vs_Major_Enemies 7.5
Avg_R3_Attack_DMG_vs_Major_Enemies 7.5
Avg_R1_Attack_DMG_vs_Bosses 7.5
Avg_R2_Attack_DMG_vs_Bosses 7.5
Avg_R3_Attack_DMG_vs_Bosses 7.5
Avg_Extra_DMG_per_Round 3.5
