Name Unai
Primary_Ability_Mod 3
Save_DC_Ability_Mod 3
Save_Prof_1 wis
Save_Prof_2 cha
STR_Mod -1
DEX_Mod 1
CON_Mod 2
INT_Mod 2
WIS_Mod 2
CHA_Mod 3
Max_HP 54
AC 16
Prof_Bonus 3
Weapon_Attack_Bonus 0
Weapon_Damage_Bonus 0
Num_Attacks 1
Avg_R1_Attack_DMG_vs_Minor_Enemies 9
Avg_R2_Attack_DMG_vs_Minor_Enemies 13
Avg_R3_Attack_DMG_vs_Minor_Enemies 13
Avg_R1_Attack_DMG_vs_Major_Enemies 14
Avg_R2_Attack_DMG_vs_Major_Enemies 14
Avg_R3_Attack_DMG_vs_Major_Enemies 14
Avg_R1_Attack_DMG_vs_Bosses 17
Avg_R2_Attack_DMG_vs_Bosses 17
Avg_R3_Attack_DMG_vs_Bosses 17
Avg_Extra_DMG_per_Round 0
